Nombre,Precio,Proveedor,MPN,EAN,Longitud,Ranuras,Conectores de 8 pines,Conectores de 6 pines,HDMI,DisplayPort,DVI,VGA,Relog de Boost,Vram,Reloj de memoria,TDP
ASUS GeForce GTX 1660 Ti Dual O6G,$299.08 USD,ASUS,90YV0CT2-M0NA00,4718017258142,215 mm,2.5,1,0,1,1,1,0,1800 MHz,6 GB,12000 MHz,120 W
ASUS GeForce RTX 2060 Dual O6G EVO,$224.13 USD,ASUS,90YV0CH2-M0NA00,4718017273831,242 mm,2.5,1,0,2,1,1,0,1755 MHz,6 GB,14000 MHz,160 W
ASUS GeForce RTX 2070 Super Dual O8G Evo,$507.76 USD,ASUS,90YV0DK0-M0NA00,4718017421331,267 mm,2.75,1,1,1,1,0,0,1815 MHz,8 GB,14000 MHz,260 W
ASUS GeForce RTX 2070 Super ROG Strix A8G Gaming,$602.05 USD,ASUS,90YV0DI1-M0NA00,4718017421195,305 mm,2.75,2,0,1,1,0,0,1800 MHz,8 GB,14000 MHz,260 W
Asus GT1030 2G CSM,$93.8 USD,ASUS,GT1030-2G-CSM,889349750964,173 mm,1.0,0,0,1,0,1,0,1506 MHz,2 GB,6008 MHz,30 W
Asus PH GT1030 O2G,$94.29 USD,ASUS,PH-GT1030-O2G,889349743447,184 mm,,0,0,1,0,1,0,1531 MHz,2 GB,6008 MHz,30 W
Asus PH GTX 1050 2G,$157.37 USD,ASUS,PH-GTX1050-2G,889349584613,192 mm,2.0,0,0,1,1,1,0,1455 MHz,2 GB,7008 MHz,75 W
Asus PH GTX 1050TI 4G,$158.76 USD,ASUS,PH-GTX1050TI-4G,4058829428709,192 mm,2.0,0,0,1,1,1,0,1392 MHz,4 GB,7008 MHz,75 W
Asus PH GTX 1060 3G,$236.86 USD,ASUS,PH-GTX1060-3G,889349723197,183 mm,2.0,0,1,2,2,1,0,1708 MHz,3 GB,8008 MHz,120 W
Asus PH GTX 1060 6G,$307.86 USD,ASUS,PH-GTX1060-6G,889349981689,72 mm,2.0,0,0,2,1,1,0,1708 MHz,6 GB,8008 MHz,120 W
Asus PH RX 550 4G M7,$138.94 USD,ASUS,PH-RX550-4G-M7,889349963289,192 mm,2.0,0,0,1,1,1,0,1071 MHz,4 GB,7000 MHz,50 W
Asus R7250 1GD5 V2,$95.87 USD,ASUS,R7250-1GD5-V2,889349316832,168 mm,1.0,0,0,1,1,1,0,925 MHz,1 GB,1125 MHz,0 W
ASUS Radeon RX 580 STRIX O8G Gaming,$201.65 USD,ASUS,90YV0AK0-M0NA00,4712900696295,298 mm,2.5,1,0,2,2,1,0,1380 MHz,8 GB,8000 MHz,185 W
Asus ROG STRIX GTX 1050TI 4G GAMING,$224.42 USD,ASUS,ROG STRIX-GTX1050TI-4G-GAMING,889349578179,241 mm,2.0,0,1,1,1,2,0,1430 MHz,4 GB,7008 MHz,75 W
Asus ROG STRIX GTX 1050TI O4G GAMING,$188.59 USD,ASUS,ROG STRIX-GTX1050TI-O4G-GAMING,889349578124,241 mm,2.0,0,1,1,1,2,0,1506 MHz,4 GB,7008 MHz,75 W
