Nombre,Precio,Proveedor,MPN,EAN,Enchufes compatibles,Alto,Soporte adicional para fan
be quiet! Shadow Rock LP Low Profile - 120mm,$39.16 USD,be quiet!,BK002,4260052184226,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700","75,4 mm",False
be quiet! Shadow Rock Slim,$61.31 USD,be quiet!,BK010,4260052183632,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",161 mm,True
be quiet! Shadow Rock TF2 - 135mm,$77.01 USD,be quiet!,BK003,4260052185391,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",137 mm,False
Cooler Master Hyper 212 EVO V2 - 120mm,$47.2 USD,Cooler Master,RR-2V2E-18PK-R1,4719512101476,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM2+, FM2+, FM1",155 mm,True
Cooler Master Hyper H412R - 92mm,$21.02 USD,Cooler Master,RR-H412-20PK-R2,4719512064368,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775",136 mm,False
Cooler Master Hyper T2 - Compact with Dual Looped Direct Contact Heatpipes,$14.5 USD,Cooler Master,RR-HT2-28PK-R1,884102026317,"1150 , 1156 , 1155 , 775, FM2+ , FM2 , FM1 , AM4 , AM3+ , AM3 , AM2",140 mm,False
"Cooler Master MasterAir G100M, RGB - 100mm",$30.46 USD,Cooler Master,MAM-G1CN-924PC-R1,4719512065341,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","74,5 mm",False
Cooler Master MasterAir MA410M RGB - 2x120mm PWM,$57.06 USD,Cooler Master,MAM-T4PN-218PC-R1,4719512067239,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","165,1 mm",False
"Cooler Master MasterAir MA410P , RGB - 120mm",$46.42 USD,Cooler Master,MAP-T4PN-220PC-R1,4719512064009,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","158,5 mm",True
"Cooler Master MasterAir MA610P , RGB - 120mm",$56.77 USD,Cooler Master,MAP-T6PN-218PC-R1,4719512063408,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",166.5 mm,False
Cooler Master MasterLiquid ML240 ILLUSION White Edition - white,$103.69 USD,Cooler Master,MLX-D24M-A18PW-R1,4719512117415,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",0 mm,False
COOLER MASTER MAZ-T8PN-418PR-R1 140mm DynaLoop,$124.04 USD,Cooler Master,MAZ-T8PN-418PR-R1,884102027413,"2011-V3 , 2011 , 1366 , 1151 , 1150 , 1156 , 1155 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+",172 mm,False
Cooler Master ML240R RGB,$125.24 USD,Cooler Master,MLX-D24M-A20PC-R1,4719512064825,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
COOLER MASTER RR-212E-20PK-R2 120mm Long Life Sleeve Bearing,$41.62 USD,Cooler Master,RR-212E-20PK-R2,884102012921,"2011 , 1366 , 1151 , 1150 , 1155 , 1156 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2 , AM1",159 mm,False
COOLER MASTER RR-G5V2-20PK-R1 120mm Loop Dynamic Bearing (LDB),$40.8 USD,Cooler Master,RR-G5V2-20PK-R1,884102026942,"775 , 1155 , 1156 , 1366 , 2011",106 mm,False
COOLER MASTER RR-H6V2-13PK-R1 120mm Rifle,$47.15 USD,Cooler Master,RR-H6V2-13PK-R1,884102026799,"2011,1366,1156,1155,1150,775, FM2+,FM2,FM1,AM3+,AM3,AM2+,AM2",161 mm,False
COOLER MASTER RR-HD92-28PK-R1 92mm Rifle,$42.8 USD,Cooler Master,RR-HD92-28PK-R1,884102026508,"1156 , 1366 , 775",147 mm,False
COOLER MASTER RR-T4-18PK-R1 120mm Rifle,$27.14 USD,Cooler Master,RR-T4-18PK-R1,884102018206,"2011 , 1366 , 1156 , 1155 , 1151 , 1150 , 775, FM2+ , FM2 , FM1 , AM4 , AM3+ , AM3 , AM2",153 mm,False
COOLER MASTER RR-VTPS-28PK-R1 92mm Long life sleeve,$29.93 USD,Cooler Master,RR-VTPS-28PK-R1,884102008511,"754, 939, 940, AM2, 775, 1366",59 mm,False
Cooler Master V8 - Vapor Chamber,$107.67 USD,Cooler Master,RR-V8VC-16PR-R1,4719512041864,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",166.5 mm,False
Cooler Master Wraith Ripper - 120 mm,$95.74 USD,Cooler Master,MAM-D7PN-DWRPS-T1,4719512075074,TR4,160 mm,False
Corsair Air A500 - 120mm,$78.85 USD,Corsair,CT-9010003-WW,840006617600,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4",169 mm,False
Corsair Cooling Hydro Series H100i Platinum,$162.47 USD,Corsair,CW-9060039-WW,843591035460,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",0 mm,False
Corsair Cooling Hydro Series H100i Platinum SE,$145.07 USD,Corsair,CW-9060042-WW,840006612711,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, TR4, sTRX4",0 mm,False
Corsair Cooling Hydro Series H115i Platinum,$123.31 USD,Corsair,CW-9060038-WW,843591035453,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",0 mm,False
Corsair Cooling Hydro Series H60 High Performance,$76.15 USD,Corsair,CW-9060036-WW,843591026543,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
Corsair Cooling Hydro Series H60i RGB PRO XT,$87.04 USD,Corsair,CW-9060049-WW,840006624868,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, AM4, AM3, FM2, FM1",0 mm,False
Corsair Cooling Hydro Series H75 Performance,$68.9 USD,Corsair,CW-9060035-WW,843591026536,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,False
Corsair Cooling Hydro Series H80i V2,$68.9 USD,Corsair,CW-9060024-WW,843591071529,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, AM2, AM3, AM4, FM1, FM2, FM2+",0 mm,False
