Nombre,Precio,Proveedor,MPN,EAN,Tipo de RAM,Tamaño,Reloj,Tiempos,Sticks
"Crucial Ballistix Tactical, DDR4-3000, CL16 - 16 GB Kit",$207.45 USD,Crucial,BLT2C8G4D30AETA,649528778833,DDR4-3000,16 GB,3000,16,2
Crucial DDR5-4800,$29.12 USD,Crucial,CT2K8G48C40U5,649528905611,DDR5-4800,16 GB,4800,40-39-39,2
Crucial DDR5-4800,$47.08 USD,Crucial,CT2K16G48C40U5,649528905628,DDR5-4800,32 GB,4800,40-39-39,2
Crucial DDR5-4800,$87.12 USD,Crucial,CT2K32G48C40U5,649528905635,DDR5-4800,64 GB,4800,40-39-39,2
G.Skill Aegis DDR4 DDR4-2400 8GB,$32.54 USD,G.Skill,F4-2400C15S-8GIS,848354019633,DDR4-2400,8 GB,2400,15-15-15-35-2N,1
G.Skill Ripjaws V DDR4-3200 16GB,$142.72 USD,G.Skill,F4-3200C15D-16GVR,848354019459,DDR4-3200,16 GB,3200,15-15-15-35-2N,2
G.Skill RipJaws V Series,$147.28 USD,G.Skill,F4-3200C16D-32GVK,4719692007018,DDR4-3200,32 GB,3200,16-18-18-38,2
G.Skill Sniper X Series,$78.33 USD,G.Skill,F4-3200C16D-16GSXKB,4719692019622,DDR4-3200,16 GB,3200,16-18-18-38,2
G.Skill Sniper X Series,$78.33 USD,G.Skill,F4-3200C16D-16GSXFB,4719692019639,DDR4-3200,16 GB,3200,16-18-18-38,2
G.Skill Sniper X Series,$94.98 USD,G.Skill,F4-3200C16D-16GSXWB,4719692019615,DDR4-3200,16 GB,3200,16-18-18-38,2
G.Skill Trident Z DDR4-3200 16GB,$58.02 USD,G.Skill,F4-3200C16D-16GTZSK,848354023111,DDR4-3200,16 GB,3200,16-18-18-38-2N,2
G.Skill Trident Z DDR4-3200 16GB,$69.78 USD,G.Skill,F4-3200C16D-16GTZKO,4719692013149,DDR4-3200,16 GB,3200,16-18-18-38-2N,2
G.Skill Trident Z DDR4-3200 16GB,$82.17 USD,G.Skill,F4-3200C16D-16GTZKY,4719692013088,DDR4-3200,16 GB,3200,16-18-18-38-2N,2
G.Skill Trident Z DDR4-3200 16GB,$88.85 USD,G.Skill,F4-3200C16D-16GTZKW,848354023074,DDR4-3200,16 GB,3200,16-18-18-38-2N,2
G.Skill Trident Z DDR4-3200 16GB,$89.2 USD,G.Skill,F4-3200C15D-16GTZKW,4719692013170,DDR4-3200,16 GB,3200,15-15-15-35-2N,2
G.Skill Trident Z DDR4-3200 16GB,$90.35 USD,G.Skill,F4-3200C16D-16GTZB,848354015550,DDR4-3200,16 GB,3200,16-18-18-38-2N,2
G.Skill Trident Z DDR4-3200 16GB,$107.15 USD,G.Skill,F4-3200C16D-16GTZSW,848354023104,DDR4-3200,16 GB,3200,16-18-18-38-2N,2
G.Skill Trident Z DDR4-3200 32GB,$58.02 USD,G.Skill,F4-3200C16D-32GTZSK,4719692013118,DDR4-3200,32 GB,3200,16-18-18-38-2N,2
G.Skill Trident Z RGB DDR4-3200 16GB,$68.17 USD,G.Skill,F4-3200C16D-16GTZR,848354025191,DDR4-3200,16 GB,3200,16-18-18-38,2
G.Skill Trident Z RGB Series,$122.38 USD,G.Skill,F4-3600C17D-16GTZR,4719692015235,DDR4-3600,16 GB,3600,17-18-18-38,2
Gigabyte Aorus RGB Memory,$190.43 USD,Gigabyte,GP-AR32C16S8K2HU416RD,4719331804886,DDR4-3200,16 GB,3200,16-18-18-38,2
Kingston Fury Beast,$70.99 USD,Kingston,KF548C38BB-16,740617324389,DDR5-4800,16 GB,4800,38-38-38,1
Kingston Fury Beast,$105.9 USD,Kingston,KF548C38BBK2-32,740617324365,DDR5-4800,32 GB,4800,38-38-38,2
Kingston Fury Beast Black,$63.09 USD,Kingston,KF552C40BB-16,740617324372,DDR5-5200,16 GB,5200,40-39-39,1
Kingston Fury Beast Black,$116.05 USD,Kingston,KF552C40BBK2-32,740617324358,DDR5-5200,32 GB,5200,40-39-39,1
Kingston ValueRAM,$157.25 USD,Kingston,KVR48U40BS8-16,740617325096,DDR5-4800,16 GB,4800,40-39-39,1
Kingston ValueRAM,$330.18 USD,Kingston,KVR48U40BS8K2-32,740617325102,DDR5-4800,32 GB,4800,40-39-39,2
Thermaltake Toughram RGB DDR4-3200 CL16 - 16 GB Dual-Kit,$96.83 USD,Thermaltake,R009D408GX2-3200C16A,4713227522069,DDR4-3200,16 GB,3200,16-18-18-38,2
Thermaltake Toughram RGB DDR4-3600 CL18 - 16 GB Dual-Kit,$107.5 USD,Thermaltake,R009D408GX2-3600C18B,4713227522076,DDR4-3600,16 GB,3600,18-22-22-42,2
ADATA XPG Gammix D10,$80.53 USD,ADATA,AX4U266638G16-DBG,4713218462183,DDR4-2666,16 GB,2666,16-17-17,2
ADATA XPG Spectrix RGB D41 grey,$96.93 USD,ADATA,AX4U300038G16-DT41,4713218466969,DDR4-3000,16 GB,3000,16-18-18,2
Corsair 16GB,$57.0 USD,Corsair,CMV16GX4M1A2133C15,4056572728169,DDR4-2133,16 GB,2133,15-15-15-36,1
Corsair 16GB,$62.38 USD,Corsair,CMV16GX4M1A2400C16,843591024242,DDR4-2400,16 GB,2400,16-16-16-39,1
Corsair 1GB DDR Memory,$33.66 USD,Corsair,VS1GB400C3,6558051386559,DDR1-400,1 GB,400,3-3-3-8,1
Corsair 1GB DDR2 Memory,$17.97 USD,Corsair,VS1GB667D2,767873479875,DDR2-667,1 GB,667,5-5-5-15,1
Corsair 1GB DDR2 Memory,$22.94 USD,Corsair,VS1GB533D2,5052179817571,DDR2-533,1 GB,533,4-4-4-12,1
Corsair 2GB DDR2 Memory,$30.2 USD,Corsair,VS2GB800D2,843591004534,DDR2-800,2 GB,800,5-5-5-18,1
Corsair 2GB Dual Channel DDR Memory Kit,$44.9 USD,Corsair,VS2GBKIT400C3,132017663210,DDR1-400,2 GB,400,3-3-3-8,2
Corsair 2GB Dual Channel DDR2 Memory Kit,$32.41 USD,Corsair,VS2GBKIT533D2,5054533081833,DDR2-533,2 GB,533,4-4-4-12,2
Corsair 8GB,$42.06 USD,Corsair,CMV8GX3M2A1600C11,843591034111,DDR3-1600,8 GB,1600,11-11-11-30,2
Corsair 8GB,$47.14 USD,Corsair,CMV8GX4M1A2400C16,843591024259,DDR4-2400,8 GB,2400,16-16-16-39,1
Corsair 8GB Dual Channel DDR3 Memory Kit,$42.06 USD,Corsair,CMV8GX3M2A1333C9,5053313866547,DDR3-1333,8 GB,1333,9-9-9-24,2
Corsair Dominator Platinum + AF,$180.46 USD,Corsair,CMD8GX4M2B3600C18,843591070027,DDR4-3600,8 GB,3600,18-19-19-39,2
Corsair Dominator Platinum + AF,$205.77 USD,Corsair,CMD8GX4M2B4000C19,843591088114,DDR4-4000,8 GB,4000,19-23-23-45,2
"Corsair Dominator Platinum + AF, DDR4-3600, CL 16 - 32 GB Quad Kit",$499.49 USD,Corsair,CMD32GX4M4B3600C16,843591092432,DDR4-3600,32 GB,3600,16-16-16-36,4
