Nombre,Precio,Proveedor,MPN,EAN,Formato,Protocolo,Tamaño,NAND,Controlador
Corsair Neutron Series XTi,$852.24 USD,Corsair,CSSD-N1920GBXTI,843591091435,SATA,SATA,1920 GB,MLC,Phison PS3110-S10
Crucial BX500 - 1 TB 1000 GB,$50.75 USD,Crucial,CT1000BX500SSD1,649528821553,SATA,SATA,1000 GB,TLC,Silicon Motion SM2259XT
Crucial BX500 - 120 GB 120 GB,$26.83 USD,Crucial,CT120BX500SSD1,649528787316,SATA,SATA,120 GB,TLC,Silicon Motion SM2258XT
Crucial BX500 - 2 TB 2000 GB,$96.67 USD,Crucial,CT2000BX500SSD1,649528821584,SATA,SATA,2000 GB,TLC,Silicon Motion SM2259XT
Crucial BX500 - 240 GB 240 GB,$25.38 USD,Crucial,CT240BX500SSD1,649528787323,SATA,SATA,240 GB,TLC,Silicon Motion SM2258XT
Crucial BX500 - 480 GB 480 GB,$32.62 USD,Crucial,CT480BX500SSD1,649528787330,SATA,SATA,480 GB,TLC,Silicon Motion SM2258XT
Crucial MX300,$66.92 USD,Crucial,CT275MX300SSD1,649528777195,SATA,SATA,275 GB,TLC,Marvell 88SS1074
Crucial MX300,$131.29 USD,Crucial,CT525MX300SSD1,649528777201,SATA,SATA,525 GB,TLC,Marvell 88SS1074
Crucial MX300,$196.36 USD,Crucial,CT1050MX300SSD1,4540395601667,SATA,SATA,1000 GB,TLC,Marvell 88SS1074
Crucial MX300,$321.94 USD,Crucial,CT2050MX300SSD1,649528778284,SATA,SATA,2000 GB,TLC,Marvell 88SS1074
Crucial MX300 M.2 Solid State Drive,$137.05 USD,Crucial,CT525MX300SSD4,649528778307,M.2,SATA,525 GB,TLC,Marvell 88SS1074
Crucial MX500 250 GB,$38.18 USD,Crucial,CT250MX500SSD1,649528785046,SATA,SATA,250 GB,TLC,Silicon Motion SM2258
Crucial MX500 M.2 Solid State Drive 1000 GB,$106.43 USD,Crucial,CT1000MX500SSD4,649528785107,M.2,SATA,1000 GB,TLC,Silicon Motion SM2258
Crucial MX500 M.2 Solid State Drive 250 GB,$50.05 USD,Crucial,CT250MX500SSD4,649528785084,M.2,SATA,250 GB,TLC,Silicon Motion SM2258
Crucial MX500 M.2 Solid State Drive 500 GB,$79.78 USD,Crucial,CT500MX500SSD4,649528785091,M.2,SATA,500 GB,TLC,Silicon Motion SM2258
Crucial P5 1000 GB,$108.8 USD,Crucial,CT1000P5SSD8,649528823311,M.2,NVM,1000 GB,TLC,Micron
Crucial P5 2000 GB,$251.01 USD,Crucial,CT2000P5SSD8,649528823328,M.2,NVM,2000 GB,TLC,Micron
Crucial P5 250 GB,$50.77 USD,Crucial,CT250P5SSD8,649528823236,M.2,NVM,250 GB,TLC,Micron
Crucial P5 500 GB,$68.9 USD,Crucial,CT500P5SSD8,649528823304,M.2,NVM,500 GB,TLC,Micron
Crucial P5 Plus 1000 GB,$88.63 USD,Crucial,CT1000P5PSSD8,649528906663,M.2,NVM,1000 GB,TLC,Micron
Crucial P5 Plus 2000 GB,$181.73 USD,Crucial,CT2000P5PSSD8,649528906670,M.2,NVM,2000 GB,TLC,Micron
Crucial P5 Plus 500 GB,$61.75 USD,Crucial,CT500P5PSSD8,649528906656,M.2,NVM,500 GB,TLC,Micron
Gigabyte Aorus 1000 GB,$288.02 USD,Gigabyte,GP-ASM2NE6100TTTD,4719331805784,M.2,NVM,1000 GB,TLC,Phison PS5016-E16
Gigabyte Aorus 256 GB,$88.21 USD,Gigabyte,GP-ASM2NE2256GTTDR,4719331804794,M.2,NVM,256 GB,TLC,Phison PS5012-E12
Gigabyte Aorus 512 GB,$107.38 USD,Gigabyte,GP-ASM2NE2512GTTDR,4719331804800,M.2,NVM,512 GB,TLC,Phison PS5012-E12
Gigabyte UD Pro Series 256 GB,$61.24 USD,Gigabyte,GP-GSTFS30256GTTD,4719331803278,SATA,SATA,256 GB,TLC,Phison PS3110-S10 (8 Kanäle)
HyperX Savage Series,$378.68 USD,HyperX,SHSS37A/960G,740617239874,SATA,SATA,960 GB,MLC,Phison PS3110-S10
Intel 660P Series,$109.71 USD,Intel,SSDPEKNW010T8X1,735858381086,M.2,NVM,1000 GB,QLC,Silicon Motion SM2263EN
Intel 760p Series,$93.42 USD,Intel,SSDPEKKW256G8XT,735858362795,M.2,NVM,256 GB,TLC,Silicon Motion SM2262
Intel 760p Series 1000 GB,$218.72 USD,Intel,SSDPEKKW010T8X1,735858362832,M.2,NVM,1000 GB,TLC,Silicon Motion SM2262
Intel 760p Series 128 GB,$46.36 USD,Intel,SSDPEKKW128G8XT,735858362771,M.2,NVM,128 GB,TLC,Silicon Motion SM2262
Intel 760p Series 2000 GB,$443.83 USD,Intel,SSDPEKKW020T8X1,735858362856,M.2,NVM,2000 GB,TLC,Silicon Motion SM2262
Intel 760p Series 512 GB,$111.25 USD,Intel,SSDPEKKW512G8XT,735858362818,M.2,NVM,512 GB,TLC,Silicon Motion SM2262
Intel Optane 800P 118 GB,$244.4 USD,Intel,SSDPEK1W120GA01,735858349529,M.2,NVM,118 GB,3D XPoint,Intel SLL3D
Intel Optane 800P 58 GB,$138.79 USD,Intel,SSDPEK1W060GA01,735858349512,M.2,NVM,58 GB,3D XPoint,Intel SLL3D
Intel Optane 900P AIC Solid State Drive 480 GB,$642.3 USD,Intel,SSDPED1D480GAX1,5032037093668,M.2,NVM,480 GB,3D XPoint,Intel SLL3D
Intel Optane 900P Series 2 280 GB,$337.7 USD,Intel,SSDPE21D280GASM,5032037115773,M.2,NVM,280 GB,3D XPoint,Intel EAU01D76 SLL3D
Intel Optane Series,$88.21 USD,Intel,MEMPEK1W032GAXT,675901462341,M.2,NVM,32 GB,3D XPoint,Intel
Intel Optane Series 16 GB,$50.77 USD,Intel,MEMPEK1W016GAXT,5032037099950,M.2,NVM,16 GB,3D XPoint,Intel
Intel Pro 6000P Series,$97.98 USD,Intel,SSDPEKKF256G7X1,5032037087681,M.2,NVM,256 GB,TLC,Silicon Motion SM2260
Kingston A1000 NVMe M.2 Solid State Drive,$50.38 USD,Kingston,SA1000M8/240G,740617277333,M.2,NVM,240 GB,TLC,Phison PS5008-E8
Kingston A400 - 960 GB 960 GB,$50.75 USD,Kingston,SA400S37/960G,740617277357,SATA,SATA,960 GB,TLC,Phison PS3111-S11
Kingston Solid State Drive,$33.68 USD,Kingston,SM2280S3G2/480G,740617248975,M.2,SATA,480 GB,MLC,Phison PS3110
Kingston SSDNow A400 Series 120 GB,$15.95 USD,Kingston,SA400S37/120G,740617261196,SATA,SATA,120 GB,TLC,Phison PS3111-S-11
Kingston SSDNow A400 Series 240 GB,$21.75 USD,Kingston,SA400S37/240G,740617261219,SATA,SATA,240 GB,TLC,Phison PS3111-S-11
Kingston SSDNow A400 Series 480 GB,$31.17 USD,Kingston,SA400S37/480G,740617263442,SATA,SATA,480 GB,TLC,Phison PS3111-S-11
Kingston SSDNow UV500 Series 120 GB,$28.28 USD,Kingston,SUV500/120G,740617273823,SATA,SATA,120 GB,TLC,Marvell 88SS1074
Kingston SSDNow UV500 Series 240 GB,$40.58 USD,Kingston,SUV500/240G,740617273809,SATA,SATA,240 GB,TLC,Marvell 88SS1074
Kingston SSDNow UV500 Series 480 GB,$63.83 USD,Kingston,SUV500/480G,740617273793,SATA,SATA,480 GB,TLC,Marvell 88SS1074
Kingston SSDNow UV500 Series 960 GB,$134.91 USD,Kingston,SUV500/960G,740617273786,SATA,SATA,960 GB,TLC,Marvell 88SS1074
Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive,$47.14 USD,Kingston,SUV500M8/240G,740617274127,M.2,SATA,240 GB,TLC,Marvell 88SS1074
Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive 120 GB,$35.56 USD,Kingston,SUV500M8/120G,740617274141,M.2,SATA,120 GB,TLC,Marvell 88SS1074
Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive 480 GB,$99.09 USD,Kingston,SUV500M8/480G,740617274103,M.2,SATA,480 GB,TLC,Marvell 88SS1074
Kingston SSDNow V300 Series,$167.4 USD,Kingston,SV300S37A/480G,740617223941,SATA,SATA,480 GB,MLC,LSI SandForce SF-2281
Sabrent Rocket,$49.03 USD,Sabrent,SB-ROCKET-256,840025210615,M.2,NVM,256 GB,TLC,Phison PS5012
Samsung 860 PRO Series 2000 GB,$443.59 USD,SAMSUNG,MZ-76P2T0B/EU,8801643120559,SATA,SATA,2000 GB,MLC,Samsung MJX
Samsung 870 QVO 8000 GB,$670.69 USD,SAMSUNG,MZ-77Q8T0BW,8806090396014,SATA,SATA,8000 GB,MLC,Samsung MKX
Samsung 960 EVO,$86.21 USD,SAMSUNG,MZ-V6E250BW,8806088540139,M.2,NVM,250 GB,TLC,Samsung Polaris
Samsung 960 EVO,$127.48 USD,SAMSUNG,MZ-V6E500BW,8806088540122,M.2,NVM,500 GB,TLC,Samsung Polaris
Samsung 960 EVO,$494.78 USD,SAMSUNG,MZ-V6E1T0BW,8806088540115,M.2,NVM,1000 GB,TLC,Samsung Polaris
Samsung 960 PRO,$271.86 USD,SAMSUNG,MZ-V6P512BW,8806088540146,M.2,NVM,512 GB,MLC,Samsung Polaris
Samsung 960 PRO,$550.92 USD,SAMSUNG,MZ-V6P1T0BW,8806088540153,M.2,NVM,1000 GB,MLC,Samsung Polaris
Samsung 960 PRO,$1268.68 USD,SAMSUNG,MZ-V6P2T0BW,8806088540160,M.2,NVM,2000 GB,MLC,Samsung Polaris
Samsung 970 Evo Plus 250 GB,$103.91 USD,SAMSUNG,MZ-V7S250BW,8801643628079,M.2,NVM,250 GB,MLC,Samsung Phoenix
Samsung 970 Evo Plus 500 GB,$139.76 USD,SAMSUNG,MZ-V7S500BW,8801643628116,M.2,NVM,500 GB,MLC,Samsung Phoenix
Samsung 970 PRO 1000 GB,$359.03 USD,SAMSUNG,MZ-V7P1T0BW,8801643205379,M.2,NVM,1000 GB,MLC,Samsung Phoenix
Samsung 970 PRO 512 GB,$145.07 USD,SAMSUNG,MZ-V7P512BW,8801643205355,M.2,NVM,512 GB,MLC,Samsung Phoenix
Samsung PM981 256 GB,$10.84 USD,SAMSUNG,MZVLB256HAHQ,0,M.2,NVM,256 GB,MLC,Samsung Phoenix
Seagate BarraCuda 510 512 GB,$95.02 USD,Seagate,ZP512CM30041,763649134016,M.2,NVM,512 GB,TLC,Phison PS5012-E12 mit 8 Kanälen
