Nombre,Precio,Proveedor,MPN,EAN,Reloj base,Reloj turbo,Multiplicador desbloqueado,Nucleos,Subprocesos,TDP,Socket,GPU integrada
Intel Core i7-12700K,$217.61 USD,Intel,BX8071512700K,5032037233989,3.6 GHz,5.0 GHz,True,8,16,125 W,1700,Intel UHD 770
Intel Core i7-13700,$340.19 USD,Intel,BX8071513700,5032037260213,4.0 GHz,GHz,False,8,16,65 W,1700,False
Intel Core i7-13700F,$347.45 USD,Intel,BX8071513700F,5032037260237,4.0 GHz,GHz,False,8,16,65 W,1700,False
Intel Core i9-12900,$485.99 USD,Intel,BX8071512900,5032037237925,2.4 GHz,5.1 GHz,False,8,16,65 W,1700,Intel UHD 770
Intel Core i9-12900K,$405.47 USD,Intel,BX8071512900K,5032037234641,3.2 GHz,5.2 GHz,True,8,16,125 W,1700,Intel UHD 770
Intel Core i9-12900KF,$419.98 USD,Intel,BX8071512900KF,5032037234221,3.2 GHz,5.2 GHz,True,8,16,125 W,1700,False
AMD A10-9700,$31.74 USD,AMD,AD9700AGABBOX,730143308601,3.5 GHz,GHz,False,4,4,65 W,AM4,Radeon R7
AMD A6-7400K,$49.0 USD,AMD,AD740KYBJABOX,730143304948,3.5 GHz,3.9 GHz,True,1,1,65 W,FM2+,False
AMD A8-7600,$77.17 USD,AMD,AD7600YBJABOX,730143304979,3.1 GHz,3.8 GHz,False,2,2,65 W,FM2+,False
AMD A8-7650K,$79.83 USD,AMD,AD765KXBJASBX,730143307703,3.3 GHz,3.7 GHz,True,2,2,95 W,FM2+,Radeon R7
AMD Athlon 200GE,$68.31 USD,AMD,YD200GC6FBBOX,730143309325,3.2 GHz,GHz,False,2,4,35 W,AM4,Radeon RX Vega 3
AMD Athlon 220GE,$80.08 USD,AMD,YD220GC6FBBOX,730143309516,3.4 GHz,GHz,False,2,4,35 W,AM4,Radeon RX Vega 3
AMD Athlon 240GE,$71.52 USD,AMD,YD240GC6FBBOX,730143309493,3.5 GHz,GHz,False,2,4,35 W,AM4,Radeon RX Vega 3
AMD FX-6300,$87.16 USD,AMD,FD6300WMHKBOX,730143302593,3.5 GHz,4.1 GHz,True,6,6,95 W,AM3+,False
AMD FX-8300,$144.4 USD,AMD,FD8300WMHKBOX,730143302555,3.3 GHz,4.2 GHz,True,8,8,95 W,AM3+,False
AMD FX-8370,$145.36 USD,AMD,FD8370FRHKHBX,730143307390,4.0 GHz,4.3 GHz,True,8,8,125 W,AM3+,False
AMD FX-9370,$239.38 USD,AMD,FD9370FHHKWOF,730143303644,4.4 GHz,4.7 GHz,True,4,4,220 W,AM3+,False
AMD FX-9590,$234.29 USD,AMD,FD9590FHHKWOF,730143303637,4.7 GHz,5.0 GHz,True,8,8,220 W,AM3+,False
AMD Ryzen 3 1200,$117.1 USD,AMD,YD1200BBAEBOX,730143308489,3.1 GHz,3.4 GHz,True,4,4,65 W,AM4,False
AMD Ryzen 3 1300X,$75.16 USD,AMD,YD130XBBAEBOX,730143308502,3.5 GHz,3.7 GHz,True,4,4,65 W,AM4,False
AMD Ryzen 3 2200G,$101.55 USD,AMD,YD2200C5FBBOX,730143309110,3.5 GHz,3.7 GHz,True,4,4,65 W,AM4,Radeon RX Vega 8
AMD Ryzen 3 3100,$120.4 USD,AMD,100-100000284BOX,730143312202,3.6 GHz,3.9 GHz,True,4,8,65 W,AM4,False
AMD Ryzen 3 3200G,$100.81 USD,AMD,YD3200C5FHBOX,730143309851,3.6 GHz,4.0 GHz,True,4,4,65 W,AM4,Radeon RX Vega 8
AMD Ryzen 3 4100,$86.86 USD,AMD,100-100000510BOX,730143314060,3.8 GHz,4.0 GHz,True,4,8,65 W,AM4,False
AMD Ryzen 5 1400,$181.21 USD,AMD,YD1400BBAEBOX,730143308427,3.2 GHz,3.4 GHz,True,4,8,65 W,AM4,False
AMD Ryzen 5 1500X,$148.04 USD,AMD,YD150XBBAEBOX,730143308465,3.5 GHz,3.7 GHz,True,4,8,65 W,AM4,False
AMD Ryzen 5 1600,$129.64 USD,AMD,YD1600BBAEBOX,730143308397,3.2 GHz,3.6 GHz,True,6,12,65 W,AM4,False
AMD Ryzen 5 1600 AF,$197.32 USD,AMD,YD1600BBAFBOX,730143309752,3.2 GHz,3.6 GHz,True,6,12,65 W,AM4,False
AMD Ryzen 5 1600X,$256.26 USD,AMD,YD160XBCAEWOF,730143308441,3.6 GHz,4.0 GHz,True,6,12,95 W,AM4,False
AMD Ryzen 5 2400G,$159.58 USD,AMD,YD2400C5FBBOX,730143309080,3.6 GHz,3.9 GHz,True,4,8,65 W,AM4,Radeon RX Vega 11
AMD Ryzen 5 2600,$181.34 USD,AMD,YD2600BBAFBOX,730143309165,3.4 GHz,3.9 GHz,True,6,12,65 W,AM4,False
AMD Ryzen 5 2600X,$217.11 USD,AMD,YD260XBCAFBOX,730143309226,3.6 GHz,4.1 GHz,True,6,12,95 W,AM4,False
AMD Ryzen 5 3400G,$150.87 USD,AMD,YD3400C5FHBOX,730143309837,3.7 GHz,4.2 GHz,True,4,8,65 W,AM4,Radeon RX Vega 11
AMD Ryzen 5 3600,$166.8 USD,AMD,100-100000031BOX,730143309936,3.6 GHz,4.2 GHz,True,6,12,65 W,AM4,False
AMD Ryzen 5 3600X,$378.86 USD,AMD,100-100000022BOX,730143309912,3.8 GHz,4.4 GHz,True,6,12,95 W,AM4,False
AMD Ryzen 5 3600XT,$239.37 USD,AMD,100-100000281BOX,730143312646,3.8 GHz,4.5 GHz,True,6,12,95 W,AM4,False
AMD Ryzen 5 4500,$126.93 USD,AMD,100-100000644BOX,730143314114,3.6 GHz,4.1 GHz,True,6,12,65 W,AM4,False
AMD Ryzen 7 1700,$363.77 USD,AMD,YD1700BBAEBOX,730143308328,3.0 GHz,3.7 GHz,True,8,16,65 W,AM4,False
AMD Ryzen 7 1700X,$426.51 USD,AMD,YD170XBCAEWOF,730143308342,3.4 GHz,3.8 GHz,True,8,16,95 W,AM4,False
AMD Ryzen 7 1800X,$434.49 USD,AMD,YD180XBCAEWOF,730143308366,3.6 GHz,4.0 GHz,True,8,16,95 W,AM4,False
AMD Ryzen 7 2700,$272.02 USD,AMD,YD2700BBAFBOX,730143309189,3.2 GHz,4.1 GHz,True,8,16,100 W,AM4,False
